Neighborhood,Property Type,Year Built,Square Footage,Bedrooms,Bathrooms,Purchase Price,Down Payment,Loan Amount,Loan Term (Years),Interest Rate (%),Property Taxes,Insurance Costs,HOA Fees,Maintenance Costs,Renovation Costs,Current Market Rent,Vacancy Rate,Rental Growth Rate (%),Appreciation Rate (%),Property Age,Net Operating Income (NOI),Rental Yield,Debt to Income Ratio,Annual Cash Flow,Cap Rate (%),Total ROI (%)
1,2,-1.6338246748965224,0.0381491886379216,-0.8790203448509712,-0.439270784295261,-1.3295941290946796,-1.3580021844518366,-1.2374645684759382,15,4.77,-1.4332000919471528,-1.4121436736702062,-0.2508297415555682,-1.2705421291075298,0.2154615032213987,-0.0648578093233891,0.16,0.03,0.02,122,1.2107868,3.5089623671881025,-0.0059015096917211,2.2529924,3.5257187,3.9288073
6,2,1.0176592913317928,-0.7086426219789381,1.4696372770238268,1.347690342933041,-0.8119715479025784,-1.042271716659738,-0.6925845901012178,30,3.31,-0.8370671958036904,-0.4940004128176771,0.1704630554824409,-1.3680358056321833,-1.5760174846086792,-0.5372368437658205,0.07,0.05,0.01,28,0.52086353,0.2477580995048035,-0.0041859842529561,-0.12052464,0.80683535,0.17097819
6,1,0.509928319075307,0.5978483363412552,0.8824728715551274,-0.439270784295261,0.1275856004235538,-0.7317620102707844,0.3742853930477109,15,5.32,0.7705062156087672,1.2238408772133686,2.1483059333647465,-1.3346407242622988,-0.1576274012613079,0.1525417669168266,0.07,0.02,0.03,46,0.5735366,-0.1564706843204873,-0.002113414904948,-0.32908624,0.12451757,-0.33458585
1,1,0.5945501477847213,-1.2793936569429865,0.8824728715551274,-0.439270784295261,-0.311945543167775,-0.6375972059130827,-0.1957746720910169,30,4.14,0.2431271796267568,0.4786223057698903,0.976635022357151,-1.246681999931032,1.1897725974774314,0.0455622422808272,0.08,0.01,0.02,43,0.6647655,0.2609483097078204,-0.0035335782920804,-0.3260104,0.5364538,-0.27518117
6,2,-0.9568500452212078,0.293921436671603,-0.8790203448509712,1.347690342933041,-0.6691471439941721,-0.0691762729306235,-0.8048654438712245,30,3.43,-0.9245211963232656,0.8419969851703858,0.9086528243804874,-1.228656368881503,-0.244042080146404,-0.30875885250785,0.1,0.05,0.01,98,0.6087223,0.3538404858021914,-0.0045706810064331,0.028882949,0.85681736,-0.043287627
4,2,0.9894520150953214,-1.4364883401488586,-1.4661847503196708,-0.439270784295261,-0.0713160068125163,0.4292452656939906,-0.2152050922152899,30,4.79,-0.2079429459559718,0.325944530049836,0.6401307127733322,-1.371821477024877,0.187716470153833,0.3519532372364117,0.15,0.01,0.04,29,1.1828179,0.2947704593037661,-0.0044533717280699,0.37620687,0.81562,0.25396803
2,0,1.0458665675682643,0.4589103250636999,-1.4661847503196708,0.4542097793188898,-0.5682251830350916,-0.5325313328761944,-0.5430313744217651,30,5.92,-0.2783841732454695,0.0206676379480693,-0.7286734315652562,-1.2638164599583206,1.1856810077794937,-0.448433610829926,0.08,0.02,0.01,27,0.35449812,-0.0427346936265762,-0.0034447632484028,-0.32412127,0.5378044,-0.32717928
2,1,1.5818048160612217,-1.737257557744021,0.8824728715551274,0.4542097793188898,-0.4293747230811011,-0.8936965818932966,-0.2647053874785322,30,5.64,-0.058796625987151,-0.6721166185572394,-0.9122556477049096,-1.1908155429306533,1.549931441906753,-1.2253299644236095,0.12,0.01,0.03,8,-0.85650635,-1.3268868883096656,-0.062091831148831,-0.3341565,-0.8940923,-0.3418043
2,2,-1.2671300838223936,1.332798839178778,0.8824728715551274,-0.439270784295261,-1.0058908914208775,-0.5034637975553513,-1.091494011692321,30,5.89,-0.6386086299021433,0.8775510061005579,1.479763850589785,-1.2384968035241668,-0.3459048801217185,-0.146473163682402,0.11,0.05,0.02,109,0.6497636,1.5618439538971682,-0.0051782940970749,1.0991628,1.767848,1.2510942
5,2,-1.492788293714165,0.4454901762471179,-1.4661847503196708,-0.439270784295261,-0.1719093334519355,-0.92935608689727,0.0634400977091886,15,3.69,0.3148348394489169,1.2387861514981755,-0.8632751553987836,-1.3756952544667709,0.5881981974628995,-0.9886127088208244,0.07,0.05,0.03,117,-0.6355037,-1.1854871362828887,0.0207059573342381,-0.32438785,-0.6350373,-0.3298653
4,2,1.1022811200412073,1.317799849324951,0.2953084660864278,-0.439270784295261,-1.4461927961628642,-1.1200588740390949,-1.451817604327038,30,4.27,-1.33670446470203,0.7869197164639549,1.417308045098975,-1.1601503047245196,-1.385839869555044,-0.641806772225506,0.1,0.04,0.02,25,0.21763232,2.498296721304714,-0.0054162679724681,0.89183456,2.3093631,2.4468968
5,1,-0.1106317581270646,-0.8341604844399114,0.2953084660864278,-0.439270784295261,-0.9711050300200432,-1.041542981081163,-0.8890865326213429,15,4.33,-0.6436332342389897,0.168264020411289,-0.9400390181474884,-1.1557832778432495,1.1661613639795392,0.400856993928524,0.19,0.04,0.01,68,1.2928677,2.5750463151582643,-0.0054703810165325,2.1712568,2.394661,2.833642
4,0,-0.9568500452212078,0.8528311638563142,-1.4661847503196708,-0.439270784295261,-0.7121088900583881,-0.038831881931326,-0.8668521914224802,30,5.78,-0.4135513520681826,-0.7491713063961704,1.5052761008326978,-1.2334256504300245,0.9839461914515548,-0.1645430895071519,0.12,0.02,0.02,98,0.5320222,0.6832159444841489,-0.0045670824631858,0.14039409,1.0591942,0.1061605
0,1,0.9330374626223784,-1.3464944010258966,1.4696372770238268,0.4542097793188898,-1.542026995558468,-1.246372655767098,-1.532583348333212,15,3.17,-1.4088886998994228,1.210075493003678,-0.8721325241774804,-1.424816543438199,1.2553958006896135,-0.6396835457136101,0.19,0.03,0.03,31,0.42638344,3.3708854358164166,-0.0058776424854268,1.5843858,3.4151468,3.1245327
0,1,-1.4363737412412223,0.9704548211310626,1.4696372770238268,0.4542097793188898,0.7210848786202894,-0.0920119963990255,0.916709209088315,30,3.72,0.4799730452957932,0.5883048871527047,0.0040656488535921,-1.3531133851844102,0.8749713740713009,-1.2494668361388064,0.12,0.05,0.04,115,-0.8565062,-1.7887356575445392,-0.0301669485069765,-0.3299023,-0.90037596,-0.34289858
0,1,-0.9568500452212078,1.5309433893530189,-0.2918559393822717,-0.439270784295261,0.7173534725864442,1.4844584283325497,0.4448009897763777,15,4.11,0.0698871924009215,1.1491774332600069,1.5315453911421657,-1.2677516227623624,1.6893056705181593,-0.1790783954739474,0.05,0.04,0.02,98,0.45904884,-0.9035301248241076,-0.0015280662070522,-0.32951853,0.03372245,-0.3329561
1,2,1.666426644770636,-0.8720526693337901,-0.2918559393822717,-1.3327513479094115,0.6050499049115868,1.0453131893226393,0.4364519660270374,15,3.82,0.7242517934034233,0.7472439462047098,-0.3608276632260493,-1.2612346638444558,-0.8130097002275302,-0.4836529885580835,0.19,0.04,0.01,5,-0.4831643,-1.1030131504065177,0.0116981620540002,-0.32876945,-0.59389055,-0.33493656
